SalesId,First Name,Last Name,Sales Date,Total Sales Amt,Region
XE908,Alan,Hyman,20-Jun-10,19000,East
XE856,Miles,Lassiter,15-May-10,43000,East
XE435,Richard,Darlene,12-Sep-10,21000,East
XE908,Alan,Hyman,3-Nov-10,5600,East
XE346,Manny,Lines,1-Apr-10,21000,East
XE908,Alan,Hyman,25-Feb-10,18000,East
XE856,Miles,Lassiter,7-Jul-10,17000,East
XE891,Charles,Huntington,8-Aug-10,32000,East
XE435,Richard,Darlene,6-Mar-10,12000,East
XE289,Luke,Layner,5-May-10,19000,East
XE856,Miles,Lassiter,7-Oct-10,22000,East
XE289,Luke,Layner,7-Oct-10,16000,East
XE289,Luke,Layner,10-Jun-10,14000,East
XE856,Miles,Lassiter,23-Sep-10,12500,East
